time,speed,bytes
1769898601.2340622,523265.9961013645,1024
1769898601.2350645,1021638.2721217888,1024
1769898601.2360666,1021881.3457054485,1024
1769898601.2370975,993285.683626272,1024
1769898601.23809,1031700.0470814316,1024
1769898601.2400732,1012486.3969825554,1024
1769898601.242061,515169.40098356723,1024
1769898601.2441251,962781.2813270567,1024
1769898601.245148,1001157.8778554779,1024
1769898601.247087,1058395.0951207492,1024
1769898601.2480667,1045258.5290825018,1024
1769898601.2501621,931057.2937350965,1024
1769898601.2511604,1025786.3138285169,1024
1769898601.2530715,535799.3133732534,1024
1769898601.2541552,944987.303850385,1024
1769898601.2551699,1009155.8496240601,1024
1769898601.257083,535265.1166500498,1024
1769898601.2661545,112879.89949801571,1024
1769898601.2671485,0.0,0
1769898601.2761092,114276.48190719455,1024
1769898601.2861996,112069.91170024006,1024
1769898601.2961965,102431.84583830193,1024
1769898601.2970617,0.0,0
1769898601.306103,113257.93196561362,1024
1769898601.307108,0.0,0
1769898601.3161538,113201.21493898421,1024
1769898601.3171902,0.0,0
1769898601.3263497,111795.70243115207,1024
1769898601.327432,0.0,0
1769898601.3357875,122552.28260001141,1024
1769898601.3458562,113551.37732656514,1024
1769898601.3557642,113795.0691783907,1024
1769898601.3657637,113779.99618522836,1024
1769898601.3757906,113446.40101428986,1024
1769898601.3858697,112469.02943332984,1024
1769898601.3958013,113383.50834213305,1024
1769898601.405763,113976.25709205742,1024
1769898601.4158692,113320.68536450225,1024
1769898601.4266665,103418.42754635203,1024
1769898601.4273996,0.0,0
1769898601.436277,115350.6820647795,1024
1769898601.446269,108865.64169116902,1024
1769898601.4561336,103805.85609667674,1024
1769898601.4571483,0.0,0
1769898601.4662278,112782.08329394464,1024
1769898601.4671347,0.0,0
1769898601.4761517,113563.38699101005,1024
1769898601.486258,112785.04493054279,1024
1769898601.487259,0.0,0
1769898601.496259,113776.98206575008,1024
1769898601.4971738,0.0,0
1769898601.5061374,114240.00680923503,1024
1769898601.507134,0.0,0
1769898601.516254,112280.85579838963,1024
1769898601.517138,0.0,0
1769898601.5261343,113825.22714864972,1024
1769898601.527144,0.0,0
1769898601.5365515,123358.33920211392,1024
1769898601.5461864,112421.92691864727,1024
1769898601.54731,0.0,0
1769898601.555883,126919.83735224586,1024
1769898601.5663528,108182.84919775321,1024
1769898601.5673237,0.0,0
1769898601.5762334,114930.8883061279,1024
1769898601.5864882,110652.25546824682,1024
1769898601.587214,0.0,0
1769898601.597276,101769.24142833448,1024
1769898601.626274,0.0,0
1769898601.629273,512403.63827248866,1024
1769898601.6312747,1045004.2082725061,1024
1769898601.6402736,128005.46287962329,1024
1769898601.642274,1023830.1063170441,1024
1769898601.644274,1025786.3138285169,1024
1769898601.6642733,51201.879951837676,1024
1769898601.6662729,1024807.2765449773,1024
1769898601.676273,102397.65630364296,1024
1769898601.6863968,101148.49267580424,1024
1769898601.6963923,102446.50548611773,1024
1769898601.706364,102691.45218056618,1024
1769898601.7072732,0.0,0
1769898601.7164037,112151.85126383956,1024
1769898601.7172775,0.0,0
1769898601.7262845,113689.6420138705,1024
1769898601.7272732,0.0,0
1769898601.73639,112319.02758963362,1024
1769898601.7466443,99862.05901090469,1024
1769898601.755982,113686.63267953096,1024
1769898601.766773,104724.64878572125,1024
1769898601.776156,112808.74362409057,1024
1769898601.7869558,104353.15846251033,1024
1769898601.7959893,113356.57568159624,1024
1769898601.8059747,113186.29884572815,1024
1769898601.806974,0.0,0
1769898601.8163762,108909.81073131149,1024
1769898601.8261075,105227.54057232458,1024
1769898601.8271155,0.0,0
1769898601.8362505,112096.23635651833,1024
1769898601.83717,0.0,0
1769898601.8465238,109473.3335712283,1024
1769898601.8473718,0.0,0
1769898601.8564525,112767.27744374721,1024
1769898601.8573694,0.0,0
1769898601.866681,109969.46169602622,1024
1769898601.8767483,101716.217785672,1024
1769898601.8866422,114413.4712166014,1024
1769898601.8966558,102261.1260952381,1024
1769898601.9063613,117625.22035383688,1024
1769898601.9160187,106032.86663704143,1024
1769898601.9260166,113795.0691783907,1024
1769898601.9280217,0.0,0
1769898601.936564,119874.04884311592,1024
1769898601.9466825,101200.9259189444,1024
1769898601.9557877,112463.13946059177,1024
1769898601.966281,107422.52253514082,1024
1769898601.9671707,0.0,0
1769898601.9761739,113737.81303956358,1024
1769898601.986767,106686.05733022008,1024
1769898601.9959278,113698.67097286566,1024
1769898602.0059328,113725.76645660118,1024
1769898602.006928,0.0,0
1769898602.0167074,104709.32995270369,1024
1769898602.0267344,102124.95948259464,1024
1769898602.0276842,0.0,0
1769898602.036011,122976.87318539729,1024
1769898602.0370243,0.0,0
1769898602.0459268,115023.22699517943,1024
1769898602.0567825,102334.22196807244,1024
1769898602.0662246,108450.55414993814,1024
1769898602.0672555,0.0,0
1769898602.0761983,114504.98003145911,1024
1769898602.0863876,110467.2658436214,1024
1769898602.0874135,0.0,0
1769898602.095975,119606.98699490378,1024
1769898602.1059277,113891.63098300231,1024
1769898602.1166618,105060.23081627162,1024
1769898602.1260679,112492.59549502358,1024
1769898602.1279726,0.0,0
1769898602.1359403,128518.72575481013,1024
1769898602.1467364,105823.8628098359,1024
1769898602.1477919,0.0,0
1769898602.1562352,121278.79640820014,1024
1769898602.157235,0.0,0
1769898602.1665375,110076.56199702702,1024
1769898602.176539,102385.45128608549,1024
1769898602.1775215,0.0,0
1769898602.1866667,111970.57448250691,1024
1769898602.1957438,112811.70666106325,1024
1769898602.2066677,102603.13655040611,1024
1769898602.2158442,111589.47481098496,1024
1769898602.2267017,102251.38786782211,1024
1769898602.2277424,0.0,0
1769898602.236778,113329.65581297166,1024
1769898602.2461863,108840.8123463673,1024
1769898602.2473388,0.0,0
1769898602.256467,112178.2144330974,1024
1769898602.2667382,99697.47669452181,1024
1769898602.2757616,113482.37102016012,1024
1769898602.286018,110586.7268139451,1024
1769898602.287113,0.0,0
1769898602.296159,113198.23140582995,1024
1769898602.2971618,0.0,0
1769898602.3061528,113891.63098300231,1024
1769898602.3164399,110246.09312593049,1024
1769898602.3174682,0.0,0
1769898602.32644,114133.75397943186,1024
1769898602.3274803,0.0,0
1769898602.3358629,122158.40314002105,1024
1769898602.3457823,113722.75520957449,1024
1769898602.3557806,113755.88769996821,1024
1769898602.3657796,113770.9543058462,1024
1769898602.375778,113967.18399405615,1024
1769898602.3858745,112563.35297200964,1024
1769898602.3957775,114212.66576253157,1024
1769898602.40579,113656.54809600678,1024
1769898602.4157772,114218.74041964737,1024
1769898602.4257822,113719.74412200805,1024
1769898602.435822,113216.13496415014,1024
1769898602.4457886,113659.55583783211,1024
1769898602.4557793,113755.88769996821,1024
1769898602.4657772,113792.05426027978,1024
1769898602.4667778,0.0,0
1769898602.4757843,113695.6611605252,1024
1769898602.4858646,112699.22057202834,1024
1769898602.495789,113638.5049874322,1024
1769898602.4967804,0.0,0
1769898602.5057952,113590.41802650022,1024
1769898602.5067813,0.0,0
1769898602.5158675,112699.22057202834,1024
1769898602.5257795,113758.90070189378,1024
1769898602.5358756,112592.8615320086,1024
1769898602.5367792,0.0,0
1769898602.5458832,112477.86554929946,1024
1769898602.5558243,113198.23140582995,1024
1769898602.5666637,103620.52874616999,1024
1769898602.576943,102270.86617773121,1024
1769898602.5866673,105302.35849657979,1024
1769898602.595823,111842.28154783606,1024
1769898602.605879,111332.03629011354,1024
1769898602.6068795,0.0,0
1769898602.6158419,114255.20193663376,1024
1769898602.6268156,102585.98170396732,1024
1769898602.6278841,0.0,0
1769898602.636685,116353.78582071357,1024
1769898602.6459122,112891.76753844132,1024
1769898602.6564589,107253.52218753901,1024
1769898602.6574864,0.0,0
1769898602.666454,114188.37359423604,1024
1769898602.6763654,103316.42962642226,1024
1769898602.6781409,0.0,0
1769898602.686153,127807.38866240143,1024
